Appliance,Model,Wattage,Company,Months,Seasonal Usage
AC,Daikin FTKF50TV 1.5 Ton Split AC,1450,Daikin,May-August,High
AC,LG Dual Inverter AC 1 Ton,1000,LG,June-August,High
AC,Samsung AR12NV5HLT 1 Ton Split AC,1250,Samsung,June-August,High
AC,Voltas 1.5 Ton 3 Star Split AC,1350,Voltas,May-July,Medium
AC,Hitachi 1 Ton 5 Star Inverter AC,1100,Hitachi,June-August,High
AC,Carrier 1.5 Ton 3 Star Split AC,1400,Carrier,May-July,Medium
AC,Blue Star 1.5 Ton Split AC,1300,Blue Star,May-August,Medium
AC,Whirlpool 1 Ton 5 Star Inverter AC,1150,Whirlpool,June-August,High
AC,Godrej 1.5 Ton 3 Star Split AC,1350,Godrej,May-June,Medium
AC,Panasonic 1.5 Ton Inverter Split AC,1200,Panasonic,June-August,High
AC,Mitsubishi Electric 1.5 Ton Split AC,1400,Mitsubishi,May-August,High
AC,LG 2 Ton Dual Inverter AC,2000,LG,May-August,High
AC,Daikin 2 Ton Inverter Split AC,1800,Daikin,June-August,High
AC,Whirlpool 1.5 Ton Inverter AC,1250,Whirlpool,June-August,Medium
AC,Samsung 2 Ton Inverter Split AC,1900,Samsung,May-July,High
AC,Hitachi 1.5 Ton Inverter AC,1100,Hitachi,June-August,Medium
AC,Panasonic 2 Ton Inverter AC,1850,Panasonic,May-August,High
AC,Voltas 1 Ton Split AC,1000,Voltas,June-August,Medium
AC,LG 1.5 Ton 5 Star Split AC,1350,LG,May-July,High
AC,Blue Star 1 Ton Inverter AC,1200,Blue Star,June-August,Medium
AC,Godrej 2 Ton Inverter AC,1850,Godrej,May-August,High
AC,Carrier 1 Ton 5 Star Inverter AC,1150,Carrier,June-August,Medium
AC,Mitsubishi 1.5 Ton Split AC,1300,Mitsubishi,May-July,High
AC,Daikin 1.5 Ton 5 Star Split AC,1350,Daikin,June-August,Medium
AC,Hitachi 1.5 Ton 3 Star AC,1250,Hitachi,May-July,Medium
AC,Blue Star 1.5 Ton 5 Star Inverter AC,1450,Blue Star,June-August,High
AC,LG Dual Inverter AC 1.5 Ton,1500,LG,May-August,High
AC,Samsung Wind-Free AC 1.5 Ton,1400,Samsung,June-August,Medium
AC,Carrier 2 Ton Split AC,2000,Carrier,May-July,High
AC,Daikin 1.5 Ton 3 Star Split AC,1250,Daikin,June-August,Medium
AC,Voltas 2 Ton 5 Star Inverter AC,1800,Voltas,May-August,High
AC,Hitachi 2 Ton Inverter Split AC,1900,Hitachi,June-August,High
AC,Panasonic 1 Ton 3 Star AC,1000,Panasonic,May-July,Medium
AC,Whirlpool 1 Ton Split AC,1150,Whirlpool,June-August,Medium
AC,Godrej 1 Ton Inverter AC,1050,Godrej,June-August,Low
AC,Blue Star 2 Ton Inverter AC,1850,Blue Star,May-August,High
AC,Carrier 1 Ton Split AC,1000,Carrier,June-August,Low
AC,Mitsubishi Electric 2 Ton AC,2000,Mitsubishi,May-July,High
AC,Samsung Convertible 5-in-1 AC 1.5 Ton,1350,Samsung,May-August,Medium
AC,LG 1.5 Ton Dual Cool Inverter AC,1450,LG,June-August,High
AC,Daikin JTKJ50TV 1.5 Ton Split AC,1550,Daikin,May-August,High
AC,Hitachi 1 Ton Window AC,1100,Hitachi,June-August,Medium
AC,Voltas 1.2 Ton 5 Star AC,1150,Voltas,May-July,Medium
AC,Blue Star 1 Ton Window AC,1000,Blue Star,June-August,Low
AC,Whirlpool Fantasia Pro 1.5 Ton AC,1350,Whirlpool,June-August,Medium
AC,Panasonic Cube 1.5 Ton Inverter AC,1300,Panasonic,May-August,Medium
AC,Godrej Eon AC 1 Ton,1100,Godrej,May-July,Medium
AC,Samsung Hot & Cold AC 1.5 Ton,1500,Samsung,June-August,High
AC,LG 2 Ton 5 Star Inverter AC,2000,LG,May-August,High
AC,Carrier 1.8 Ton Split AC,1850,Carrier,June-August,High
AC,Hitachi Kaze Plus Window AC 1.5 Ton,1250,Hitachi,May-July,Medium
AC,Daikin MTKL50TV 1.5 Ton,1400,Daikin,May-August,Medium
AC,Panasonic Elite Series AC 2 Ton,1800,Panasonic,June-August,High
AC,Blue Star 1.8 Ton AC,1900,Blue Star,May-August,High
AC,Voltas 2 Ton Adjustable Inverter AC,1700,Voltas,June-August,High
Desktop,Model 1,200,None,All Year,Low
Desktop,OptiPlex 3080 MT,250,Dell,All Year,Medium
Desktop,OptiPlex 5080 SFF,300,Dell,All Year,Medium
Desktop,HP Pavilion Desktop TP01,300,HP,All Year,Medium
Desktop,IdeaCentre 5 14IMB05,240,Lenovo,All Year,Low
Desktop,iMac 24" M3,200,Apple,All Year,Low
Desktop,Aspire TC-1775,350,Acer,All Year,Medium
Desktop,OptiPlex 7080 Tower,350,Dell,All Year,Medium
Desktop,HP Envy Move,280,HP,All Year,Low
Desktop,IdeaCentre AIO 3 22ADA6,200,Lenovo,All Year,Low
Desktop,iMac Pro 27",500,Apple,All Year,High
Desktop,Predator Orion 3000,550,Acer,All Year,High
Desktop,Inspiron 24 5000,400,Dell,All Year,High
Desktop,HP Omen 40L,600,HP,All Year,High
Desktop,ThinkCentre M75s,280,Lenovo,All Year,Medium
Desktop,Mac Studio M2,350,Apple,All Year,Medium
Desktop,Predator Orion 7000,750,Acer,All Year,High
Desktop,OptiPlex 5000 Micro,200,Dell,All Year,Low
Desktop,HP Z2 Mini G9,300,HP,All Year,Medium
Desktop,IdeaCentre Mini 5i,250,Lenovo,All Year,Medium
Desktop,iMac 21.5" 2021,300,Apple,All Year,Medium
Desktop,Nitro 50 N50-640,450,Acer,All Year,High
Desktop,Precision 3260 Compact,350,Dell,All Year,Medium
Desktop,HP EliteDesk 800 G8,350,HP,All Year,Medium
Desktop,ThinkStation P340,400,Lenovo,All Year,Medium
Desktop,Mac Pro M3,800,Apple,All Year,High
Desktop,Aspire C24-1700,200,Acer,All Year,Low
Desktop,OptiPlex 7000 SFF,320,Dell,All Year,Medium
Desktop,HP Victus 15L,500,HP,All Year,High
Desktop,ThinkCentre M90n Nano,180,Lenovo,All Year,Low
Desktop,Mac Mini M2,150,Apple,All Year,Low
Desktop,Aspire GX-281,500,Acer,All Year,High
Desktop,Vostro 5890,300,Dell,All Year,Medium
Desktop,HP ProDesk 600 G6,280,HP,All Year,Medium
Desktop,IdeaCentre AIO 5 27IMB05,350,Lenovo,All Year,Medium
Desktop,iMac 27" Retina 5K,300,Apple,All Year,Medium
Desktop,Nitro N50-620,500,Acer,All Year,High
Desktop,Precision 7820 Tower,800,Dell,All Year,High
Desktop,HP Pavilion Gaming Desktop,400,HP,All Year,High
Desktop,ThinkCentre M920t Tower,400,Lenovo,All Year,Medium
Desktop,iMac M3 Pro,350,Apple,All Year,Medium
Desktop,Predator Orion 9000,1000,Acer,All Year,High
Desktop,OptiPlex 3090 Ultra,300,Dell,All Year,Medium
Desktop,HP Z4 G5 Tower,600,HP,All Year,High
Desktop,ThinkStation P520,650,Lenovo,All Year,High
Desktop,iMac 21.5" M1,250,Apple,All Year,Medium
Desktop,Nitro 5 Desktop,450,Acer,All Year,High
Desktop,Vostro 3910,280,Dell,All Year,Medium
Desktop,HP Slim Desktop S01,200,HP,All Year,Low
Desktop,IdeaCentre 5i Tower,300,Lenovo,All Year,Medium
Desktop,MacBook Pro Desktop Replacement,600,Apple,All Year,High
Desktop,Aspire C27-1751,250,Acer,All Year,Medium
Desktop,OptiPlex 5090 Tower,320,Dell,All Year,Medium
Desktop,HP Z8 G4,1200,HP,All Year,High
Desktop,ThinkStation P620,800,Lenovo,All Year,High
Desktop,iMac M3 Max,450,Apple,All Year,Medium
Desktop,Aspire XC-1660,300,Acer,All Year,Medium
Desktop,Vostro 3000 SFF,200,Dell,All Year,Low
Desktop,HP Pavilion 24 All-in-One,350,HP,All Year,Medium
Desktop,IdeaCentre Gaming 5,450,Lenovo,All Year,High
Desktop,Mac Pro Intel Xeon,900,Apple,All Year,High
Desktop,Nitro 50 N50-120,550,Acer,All Year,High
Desktop,OptiPlex 3070 Micro,250,Dell,All Year,Medium
Desktop,HP ENVY Desktop TE01,350,HP,All Year,Medium
Desktop,ThinkCentre Tiny-in-One 24,200,Lenovo,All Year,Low
Desktop,iMac Pro 2022,400,Apple,All Year,Medium
Desktop,Predator Orion 5000,600,Acer,All Year,High
Desktop,Precision 3660 Tower,400,Dell,All Year,Medium
Desktop,HP Omen 25L,500,HP,All Year,High
Desktop,ThinkStation P350 Tiny,200,Lenovo,All Year,Low
Desktop,iMac 24" Retina 4.5K,250,Apple,All Year,Medium
Desktop,Aspire GX-780,500,Acer,All Year,High
Desktop,Vostro 3888,280,Dell,All Year,Medium
Desktop,HP ProDesk 400 G7,280,HP,All Year,Medium
Desktop,IdeaCentre 3 24ADA6,200,Lenovo,All Year,Low
Desktop,iMac M3 Ultra,600,Apple,All Year,High
Desktop,Nitro N50-710,450,Acer,All Year,High
Desktop,OptiPlex 9020,350,Dell,All Year,Medium
Desktop,HP EliteDesk 705 G5,280,HP,All Year,Medium
Desktop,ThinkCentre AIO 520,300,Lenovo,All Year,Medium
Desktop,iMac Pro XDR,700,Apple,All Year,High
Desktop,Predator Helios Desktop,550,Acer,All Year,High
Desktop,Vostro 200,180,Dell,All Year,Low
Desktop,HP Envy All-in-One,300,HP,All Year,Medium
Desktop,ThinkStation P750,800,Lenovo,All Year,High
Desktop,iMac 27" Pro Display,500,Apple,All Year,High
Desktop,Aspire C24-865,300,Acer,All Year,Medium
Fridge,LG GL-T292RPZ3 Double Door Fridge,150,LG,May-July,High
Fridge,LG GL-I292RPZ3 Single Door Fridge,145,LG,June-August,Medium
Fridge,LG GC-B22FTLPL Side by Side Fridge,220,LG,May-July,High
Fridge,Samsung RT28T3032S8 Double Door Fridge,160,Samsung,June-August,High
Fridge,Samsung RR22M272YCU Single Door Fridge,130,Samsung,April-June,Medium
Fridge,Samsung RT38K5992S8 Double Door Fridge,185,Samsung,May-July,High
Fridge,Whirlpool 190L Single Door Fridge,130,Whirlpool,May-June,Medium
Fridge,Whirlpool 265L Frost Free Double Door Fridge,185,Whirlpool,May-July,High
Fridge,Whirlpool 340L 3 Star Fridge,200,Whirlpool,June-August,Medium
Fridge,Godrej 190L Single Door Fridge,125,Godrej,June-August,Medium
Fridge,Godrej 380L Double Door Fridge,180,Godrej,May-July,High
Fridge,Godrej 350L Inverter Fridge,210,Godrej,April-June,Medium
Fridge,Haier HRF-1953BS Double Door Fridge,180,Haier,May-July,High
Fridge,Haier HRF-2053MSS Double Door Fridge,200,Haier,June-August,Medium
Fridge,Haier HRB-3404BSR Double Door Fridge,210,Haier,May-June,High
Fridge,Panasonic NR-BX468VSS Single Door Fridge,140,Panasonic,July-September,Medium
Fridge,Panasonic NR-BX470VSX Double Door Fridge,180,Panasonic,April-June,Medium
Fridge,Panasonic NR-BX375VSN Double Door Fridge,170,Panasonic,May-July,High
Fridge,Bosch KGV33VL32S Double Door Fridge,210,Bosch,June-August,High
Fridge,Bosch KGN57AI20P French Door Fridge,250,Bosch,April-June,Medium
Fridge,Bosch 188L Top Freezer Fridge,180,Bosch,September-November,Low
Fridge,Electrolux EBM1300 Double Door Fridge,220,Electrolux,April-June,Medium
Fridge,Electrolux EC35 Double Door Fridge,210,Electrolux,May-July,High
Fridge,Electrolux ERB3412GGI Double Door Fridge,190,Electrolux,June-August,Medium
Fridge,Sharp SJ-PF38T10A Fridge Freezer,180,Sharp,July-September,Medium
Fridge,Sharp SJ-XB605D Fridge Freezer,210,Sharp,May-June,High
Fridge,Sharp SJ-BR30M Fridge,195,Sharp,May-July,Medium
Fridge,Siemens KA62DAI20 Built-In Fridge,200,Siemens,November-February,Low
Fridge,Siemens KG56NAI40 French Door Fridge,220,Siemens,May-July,High
Fridge,Siemens KS36VBW30 Single Door Fridge,180,Siemens,June-August,Medium
Fridge,Electrolux ERB3412GGI Double Door Fridge,190,Electrolux,June-August,Medium
Fridge,Electrolux ERB3411PGI Double Door Fridge,200,Electrolux,May-July,High
Fridge,Electrolux EC35 Double Door Fridge,210,Electrolux,April-June,Medium
Fridge,Godrej 251L Double Door Fridge,200,Godrej,May-July,High
Fridge,Godrej 340L Fridge,215,Godrej,June-August,Medium
Fridge,Godrej 170L Single Door Fridge,140,Godrej,October-February,Low
Fridge,Haier HRB-2054BSR Double Door Fridge,180,Haier,May-June,High
Fridge,Haier HRF-341BS Double Door Fridge,190,Haier,May-August,Medium
Fridge,Haier HRD-1953BS Double Door Fridge,170,Haier,September-November,Low
Fridge,Panasonic NR-BX468VSS Fridge,140,Panasonic,July-September,Medium
Fridge,Panasonic NR-BX470VSX Fridge,180,Panasonic,April-June,Medium
Fridge,Panasonic NR-BX375VSN Fridge,170,Panasonic,May-July,High
Fan,Crompton Hill Briz Ceiling Fan,75,Crompton,May-July,High
Fan,Crompton Sea Sapphira Ceiling Fan,80,Crompton,May-August,Medium
Fan,Crompton Energion Roverr Underlight 1200mm,85,Crompton,June-August,Low
Fan,Havells Ambrose Ceiling Fan,70,Havells,May-June,High
Fan,Havells Aerodeck Ceiling Fan,75,Havells,May-July,Medium
Fan,Havells Glide Ceiling Fan,65,Havells,October-November,Low
Fan,Bajaj Speedster Ceiling Fan,85,Bajaj,May-July,High
Fan,Bajaj Riano Ceiling Fan,90,Bajaj,May-June,Medium
Fan,Bajaj Regal Ceiling Fan,60,Bajaj,December-February,Low
Fan,Usha Bloom Daffodil Ceiling Fan,75,Usha,May-June,High
Fan,Usha Maxx Air Ceiling Fan,80,Usha,April-July,Medium
Fan,Usha Striker Ceiling Fan,70,Usha,October-November,Low
Fan,Orient Electric Apex-FX Ceiling Fan,85,Orient Electric,May-June,High
Fan,Orient Wendy Ceiling Fan,90,Orient Electric,May-July,Medium
Fan,Orient Aeroquiet Ceiling Fan,75,Orient Electric,September-October,Low
Fan,Atomberg Renesa Fan With Remote,90,Atomberg,May-June,High
Fan,Atomberg Superfan,85,Atomberg,May-June,Medium
Fan,Atomberg Gorilla Fan,95,Atomberg,June-July,Low
Fan,Hunter Original Ceiling Fan,85,Hunter Fan Company,June-August,High
Fan,Hunter Signal Ceiling Fan,90,Hunter Fan Company,May-June,Medium
Fan,Hunter Cassiopeia Ceiling Fan,80,Hunter Fan Company,September-October,Low
Fan,Luminous Morpheus Anti�Rust Ceiling Fan,60,Luminous,April-May,High
Fan,Luminous Glit Ceiling Fan,75,Luminous,May-June,Medium
Fan,Luminous Ceiling Fan 1200mm,70,Luminous,November-February,Low
Fan,Emerson CF765BQ Ceiling Fan,85,Emerson Electric Co,June-July,High
Fan,Emerson Carrera Grande Eco Ceiling Fan,90,Emerson Electric Co,May-June,Medium
Fan,Emerson Altus Ceiling Fan,80,Emerson Electric Co,September-October,Low
Fan,Polycab Dusk Ceiling Fan,75,Polycab,May-July,High
Fan,Polycab Scimitar Ceiling Fan,85,Polycab,June-August,Medium
Fan,Polycab Usha Fan,70,Polycab,October-November,Low
Fan,Khaitan Celesta Ceiling Fan,65,Khaitan,June-July,High
Fan,Khaitan Capri Ceiling Fan,80,Khaitan,May-June,Medium
Fan,Khaitan AirPlus Ceiling Fan,70,Khaitan,October-November,Low
Fan,Minka-Aire F844-DK Ceiling Fan,90,Minka-Aire,June-July,High
Fan,Minka-Aire Xtreme Ceiling Fan,95,Minka-Aire,May-June,Medium
Fan,Minka-Aire Malibu Ceiling Fan,85,Minka-Aire,September-October,Low
Fan,Broan-NuTone 443 Ceiling Fan,75,Broan-NuTone LLC,April-June,High
Fan,Broan-NuTone 544 Ceiling Fan,80,Broan-NuTone LLC,May-June,Medium
Fan,Broan-NuTone Ceiling Fan,65,Broan-NuTone LLC,November-December,Low
Fan,Kichler Tulle Ceiling Fan,85,Kichler,June-July,High
Fan,Kichler 52-Inch Ceiling Fan,90,Kichler,May-June,Medium
Fan,"Kichler Ceiling Fan 60""",100,Kichler,September-October,Low
Fan,Casablanca Wisp Ceiling Fan,95,Casablanca Fan Company,May-June,High
Fan,Casablanca Bellagio Ceiling Fan,80,Casablanca Fan Company,April-May,Medium
Fan,Casablanca Classic Ceiling Fan,90,Casablanca Fan Company,November-December,Low
Fan,Activa Ceiling Fan,70,Activa,June-July,High
Fan,Activa Ventilation Fan,85,Activa,May-June,Medium
Fan,Activa Ceiling Fan with LED,65,Activa,October-November,Low
Heater,HC 2000W,2000,Delonghi,Winter,High
Heater,TS-20 2000W,2000,Black+Decker,Winter,High
Heater,HD04 1500W,1500,DeLonghi,Winter,Medium
Heater,Oil Radiator 9 fins,2000,Honeywell,Winter,High
Heater,CH1500 1500W,1500,Crane,Winter,Medium
Heater,HeatForce 1500W,1500,Emerson,Winter,Medium
Heater,Quilted 2000W,2000,Panasonic,Winter,High
Heater,FH 1000W,1000,Philips,Winter,Low
Heater,GH5000 5000W,5000,Goodman,Winter,High
Heater,MF100 1000W,1000,Master,Winter,Low
Heater,CFH 8000W,8000,HeatCraft,Winter,High
Heater,ElectroHeat 1000W,1000,Electrolux,Winter,Low
Heater,CRH2000 2000W,2000,Circulon,Winter,Medium
Heater,OHS1500W 1500W,1500,Orpat,Winter,Medium
Heater,SHR 8000W 8000W,8000,Sharp,Winter,High
Heater,HC8000 8000W,8000,Henkel,Winter,High
Heater,HF 2000W,2000,Homelux,Winter,Medium
Heater,HeatPro 1500W,1500,HeatMaster,Winter,Low
Heater,Osb300 3000W,3000,Osram,Winter,Medium
Heater,MaxiHeat 5000W,5000,MaxxAir,Winter,High
Heater,Omni 5000W,5000,Omni,Winter,High
Heater,Equinox 1000W,1000,Equator,Winter,Low
Heater,AR 1000W,1000,Arctic,Winter,Low
Heater,EMT 1500W,1500,Empress,Winter,Medium
Heater,JetFan 2000W,2000,Jet,Winter,Medium
Heater,IM3000 3000W,3000,Innova,Winter,Medium
Heater,RapidHeat 2500W,2500,Remington,Winter,High
Heater,SpeedFan 1000W,1000,SpeedAir,Winter,Low
Heater,WindShaper 3000W,3000,WindFree,Winter,Medium
Heater,PowerHeat 2000W,2000,PowerCool,Winter,Medium
Heater,Atmos 2000W,2000,AirMax,Winter,Medium
Heater,Breeze 1500W,1500,BreezeMaster,Winter,Low
Heater,UltraHeat 1000W,1000,UltraAir,Winter,Low
Heater,Elite 8000W,8000,EliteFan,Winter,High
Heater,TrueHeat 1000W,1000,TrueCool,Winter,Low
Heater,QuickHeat 1500W,1500,QuickAir,Winter,Medium
Heater,SuperFan 2000W,2000,SuperCool,Winter,Medium
Heater,HotBox 1000W,1000,HotMax,Winter,Low
Heater,FanMaster 1500W,1500,AirMaster,Winter,Medium
Heater,FrostAway 2000W,2000,FrostMaster,Winter,Medium
